type,value
gene_mean,1.5477089881896973
gene_mean,1.5714374780654907
gene_mean,1.4333229064941406
gene_mean,1.5669560432434082
gene_mean,1.3595240116119385
gene_mean,1.5294344425201416
gene_mean,0.8974572420120239
gene_mean,1.5227534770965576
gene_mean,1.3200335502624512
gene_mean,1.493584156036377
gene_mean,1.2860848903656006
gene_mean,1.5009162425994873
gene_mean,1.514534831047058
gene_mean,1.431400179862976
gene_mean,1.527524709701538
gene_mean,1.5043305158615112
gene_mean,1.3306077718734741
gene_mean,1.4348894357681274
gene_mean,1.400522232055664
gene_mean,1.464653730392456
gene_mean,1.4156534671783447
gene_mean,1.4295316934585571
gene_mean,1.472427487373352
gene_mean,1.3652286529541016
gene_mean,1.4017974138259888
gene_mean,1.434203028678894
gene_mean,1.2067842483520508
gene_mean,1.2534250020980835
gene_mean,1.352240800857544
gene_mean,1.3754472732543945
gene_mean,1.224332332611084
gene_mean,1.4463131427764893
gene_mean,1.2117180824279785
gene_mean,1.3586431741714478
gene_mean,1.3321725130081177
gene_mean,1.2592006921768188
gene_mean,1.3788516521453857
gene_mean,1.2680937051773071
gene_mean,1.1816966533660889
gene_mean,1.3172369003295898
gene_mean,1.378287434577942
gene_mean,1.3201254606246948
gene_mean,1.2972700595855713
gene_mean,1.3083655834197998
gene_mean,1.2183865308761597
gene_mean,1.0980169773101807
gene_mean,1.2692592144012451
gene_mean,1.0556012392044067
gene_mean,1.3540891408920288
gene_mean,1.3092368841171265
gene_mean,1.320777416229248
gene_mean,0.9553042650222778
gene_mean,1.3096600770950317
gene_mean,1.2642159461975098
gene_mean,1.1908894777297974
gene_mean,1.2477953433990479
gene_mean,1.0061683654785156
gene_mean,1.2315043210983276
gene_mean,1.1251819133758545
gene_mean,1.17750883102417
gene_mean,1.2169380187988281
gene_mean,1.1138098239898682
gene_mean,1.1730940341949463
gene_mean,1.1001029014587402
gene_mean,0.7926599979400635
gene_mean,1.1629509925842285
gene_mean,1.1332635879516602
gene_mean,1.1967958211898804
gene_mean,1.16497802734375
gene_mean,1.202268123626709
gene_mean,1.1799405813217163
gene_mean,1.187750220298767
gene_mean,1.0740962028503418
gene_mean,1.1732958555221558
gene_mean,1.102083683013916
gene_mean,0.9497185945510864
gene_mean,1.1582376956939697
gene_mean,0.8625909090042114
gene_mean,1.0813922882080078
gene_mean,1.2122188806533813
gene_mean,1.1068363189697266
gene_mean,1.00299072265625
gene_mean,1.1044132709503174
gene_mean,1.19570791721344
gene_mean,0.9173916578292847
gene_mean,1.1286526918411255
gene_mean,1.1051467657089233
gene_mean,1.1130608320236206
gene_mean,1.1084855794906616
gene_mean,1.0096384286880493
gene_mean,1.0881456136703491
gene_mean,1.0372028350830078
gene_mean,1.0406495332717896
